bronze,sliver,gold,sliver_lines,gold_lines,difference
palmares-93-lomami-1.pdf,palmares-93-lomami-1.txt,palmares-2023-lomami-1-93.txt,52489,24616,-27873
palmares-93-lomami-2016.pdf,palmares-93-lomami-2016.txt,palmares-2016-lomami-93.txt,18138,16968,-1170
palmares-94-kasai-oriental-2.pdf,palmares-94-kasai-oriental-2.txt,palmares-2023-kasai-oriental-2-94.txt,10483,4736,-5747
palmares-95-sankuru-2.pdf,palmares-95-sankuru-2.txt,palmares-2023-sankuru-2-95.txt,27091,13199,-13892
palmares-96-lomami-2.pdf,palmares-96-lomami-2.txt,palmares-2023-lomami-2-96.txt,45774,19465,-26309
palmares-bandundu-1-31-2010.pdf,palmares-bandundu-1-31-2010.txt,palmares-2010-bandundu-1-31.txt,18228,17070,-1158
palmares-bandundu-1-31-2013.pdf,palmares-bandundu-1-31-2013.txt,palmares-2013-bandundu-1-31.txt,18452,17027,-1425
palmares-bandundu-1-31-2015.pdf,palmares-bandundu-1-31-2015.txt,palmares-2015-bandundu-1-31.txt,18011,16605,-1406
palmares-bandundu-2-32-2010.pdf,palmares-bandundu-2-32-2010.txt,palmares-2010-bandundu-2-32.txt,38226,35718,-2508
palmares-bandundu-2-32-2013.pdf,palmares-bandundu-2-32-2013.txt,palmares-2013-bandundu-2-32.txt,34515,31354,-3161
palmares-bandundu-2-32-2015.pdf,palmares-bandundu-2-32-2015.txt,palmares-2015-bandundu-2-32.txt,39798,36573,-3225
palmares-bandundu-2008.pdf,palmares-bandundu-2008.txt,palmares-2008-bandundu.txt,35693,33485,-2208
palmares-bandundu-2009.pdf,palmares-bandundu-2009.txt,palmares-2009-bandundu.txt,63398,59267,-4131
palmares-bandundu-2012.pdf,palmares-bandundu-2012.txt,palmares-2012-bandundu.txt,52726,48625,-4101
palmares-bandundu-3-33-2010.pdf,palmares-bandundu-3-33-2010.txt,palmares-2010-bandundu-3-33.txt,13967,13205,-762
palmares-bandundu-3-33-2013.pdf,palmares-bandundu-3-33-2013.txt,palmares-2013-bandundu-3-33.txt,11565,10358,-1207
palmares-bandundu-3-33-2015.pdf,palmares-bandundu-3-33-2015.txt,palmares-2015-bandundu-3-33.txt,16544,15184,-1360
palmares-bas-congo-1-21-2010.pdf,palmares-bas-congo-1-21-2010.txt,palmares-2010-bas-congo-1-21.txt,11269,10561,-708
palmares-bas-congo-1-21-2013.pdf,palmares-bas-congo-1-21-2013.txt,palmares-2013-bas-congo-1-21.txt,11288,10416,-872
