filename,year,region,province,total,unique_names,m,f,lower_threshold,upper_threshold,is_low_outlier,is_high_outlier
palmares-2022-tanganyika-2-code-77.txt,2022,tanganyika-2-code-77,katanga,7041,6999,5280,1761,-11453.0,31227.0,false,false
palmares-2023-sankuru-1-92.txt,2023,sankuru-1-92,kasai-oriental,6999,6967,4459,2540,-11453.0,31227.0,false,false
palmares-2023-ituri-1-52.txt,2023,ituri-1-52,orientale,6985,6958,3766,3219,-11453.0,31227.0,false,false
palmares-2013-katanga-2-72.txt,2013,katanga-2-72,katanga,6974,6905,5637,1337,-11453.0,31227.0,false,false
palmares-2023-kongo-central-3-23.txt,2023,kongo-central-3-23,bas-congo,6897,6852,4159,2738,-11453.0,31227.0,false,false
palmares-2021-kwango-2.txt,2021,kwango-2,bandundu,6816,6814,4084,2732,-11453.0,31227.0,false,false
palmares-2019-ituri-1-52.txt,2019,ituri-1-52,orientale,6757,6749,3730,3027,-11453.0,31227.0,false,false
palmares-2008-bas-congo.txt,2008,bas-congo,bas-congo,6702,6699,4192,2510,-11453.0,31227.0,false,false
palmares-2008-kasai-occ.txt,2008,kasai-occ,kasai-occidental,6676,6628,5735,941,-11453.0,31227.0,false,false
palmares-2010-kasai-orient-1-91.txt,2010,kasai-orient-1-91,kasai-oriental,6657,6650,4638,2019,-11453.0,31227.0,false,false
palmares-2022-kwango-2-code-36.txt,2022,kwango-2-code-36,bandundu,6650,6650,3795,2855,-11453.0,31227.0,false,false
palmares-2008-province-orientale.txt,2008,province-orientale,orientale,6622,6611,4615,2007,-11453.0,31227.0,false,false
palmares-2021-kasai-central-2.txt,2021,kasai-central-2,kasai-occidental,6578,6560,5346,1232,-11453.0,31227.0,false,false
palmares-2022-kongo-central-2-code-22.txt,2022,kongo-central-2-code-22,bas-congo,6505,6497,4348,2157,-11453.0,31227.0,false,false
palmares-2021-haut-lomami-2.txt,2021,haut-lomami-2,katanga,6409,6372,5016,1393,-11453.0,31227.0,false,false
palmares-2021-sankuru-1.txt,2021,sankuru-1,kasai-oriental,6352,6345,4168,2184,-11453.0,31227.0,false,false
